date,open,high,low,closed,vol,return
2010-01-05,70045,70594,69927,70239,5291956224,0.002769648083374987
2010-01-06,70236,70936,70016,70729,5347834368,0.006976181323766095
2010-01-07,70722,70722,70045,70451,4432724480,-0.0039304952706810115
2010-01-08,70455,70765,70158,70262,4366168064,-0.0026827156463357094
2010-01-11,70267,71068,70158,70433,4133910784,0.0024337479718767874
2010-01-12,70428,70428,69284,70075,4275255040,-0.00508284468927922
2010-01-13,70080,70626,69535,70385,4933125632,0.004423831608990403
2010-01-14,70376,70508,69661,69801,4997297664,-0.008297222419549666
2010-01-15,69779,69787,68695,68978,4762878464,-0.011790662024899312
2010-01-18,68983,69748,68983,69400,3215670784,0.006117892661428259
2010-01-19,69396,70036,68867,69908,3904477952,0.007319884726224801
2010-01-20,69901,69901,67546,68200,5129431040,-0.0244321107741603
2010-01-21,68200,68458,65996,66270,5855884800,-0.028299120234604125
2010-01-22,66263,66660,65445,66220,5519219200,-0.0007544892108042323
2010-01-26,66212,66212,64718,65523,5070391296,-0.010525520990637305
2010-01-27,65527,65663,64553,65069,4770545664,-0.006928864673473423
2010-01-28,65071,66049,64541,65587,4289017600,0.007960780094976139
2010-01-29,65591,66575,65140,65401,4863500288,-0.0028359278515559527
2010-02-01,65402,66763,65361,66571,4333211136,0.01788963471506544
2010-02-02,66588,67320,66538,67163,4107745536,0.008892761112196057
2010-02-03,67163,67346,66774,67108,4452461568,-0.0008189032651906292
2010-02-04,67100,67100,63749,63934,5750446080,-0.04729689455802588
2010-02-05,63934,64000,61341,62762,6866149376,-0.018331404260643835
2010-02-08,62759,63922,62727,63153,4571245568,0.006229884324910007
2010-02-09,63163,65525,63163,64718,5783735296,0.024781087200924645
2010-02-10,64721,65169,64320,65051,4232616960,0.005145400043264692
2010-02-11,65049,66145,64344,66128,5498840064,0.016556240488232232
2010-02-12,66128,66128,64965,65854,3979614464,-0.004143479312847864
2010-02-17,65863,67542,65863,67284,4200304128,0.021714702220062554
2010-02-18,67284,67836,66550,67836,4068338432,0.008204030675940777
2010-02-19,67810,67935,67210,67597,3608861440,-0.0035232030190459618
2010-02-22,67598,68119,67035,67184,4028345344,-0.006109738597866787
2010-02-23,67178,67178,65660,66108,4428962304,-0.016015718028101977
2010-02-24,66110,66513,65534,65794,3842718720,-0.00474980335209052
2010-02-25,65765,66324,64428,66121,4701898240,0.004970058060005389
2010-02-26,66117,66510,65607,66503,4920619008,0.005777287094871575
2010-03-01,66510,67397,66510,67227,3842062592,0.010886726914575373
2010-03-02,67227,68249,67227,67779,5131984384,0.008210986657146702
2010-03-03,67779,68813,67481,67641,5786530816,-0.002036028858495964
2010-03-04,67642,68197,66923,67814,4137843200,0.0025576203781729756
2010-03-05,67822,68930,67822,68846,5728591872,0.015218096558232919
2010-03-08,68850,69070,68318,68575,4550315520,-0.003936321645411467
2010-03-09,68573,70143,68255,69576,7820790784,0.014597156398104216
2010-03-10,69577,70476,69577,69979,5909522432,0.005792227204783229
2010-03-11,69980,70183,69411,69884,4532294144,-0.0013575501221795294
2010-03-12,69900,70486,69341,69341,4190892800,-0.007770018888443753
2010-03-15,69339,69384,68622,69023,3987431168,-0.0045860313523024
2010-03-16,69023,69948,69021,69942,3690661376,0.01331440244556159
2010-03-17,69944,70423,69376,69723,3783383040,-0.003131165823110571
2010-03-18,69725,70127,68972,69697,4304095232,-0.0003729042066462629
2010-03-19,69701,69998,68773,68828,4913732096,-0.012468255448584542
2010-03-22,68813,69121,67899,69041,3626454272,0.0030946707735224344
2010-03-23,69048,69612,68913,69386,4547057664,0.004997030749844367
2010-03-24,69382,69677,68743,68913,4250716160,-0.006816937134292211
2010-03-25,68915,69571,68376,68441,4168680192,-0.0068492156777385516
2010-03-26,68442,68909,68024,68682,4483108864,0.0035212811034321945
2010-03-29,68681,69942,68681,69939,4219143424,0.018301738446754534
2010-03-30,69941,70450,69750,69959,4073166848,0.0002859634824632362
2010-03-31,69959,70391,69573,70371,4895222272,0.005889163652996743
2010-04-01,70374,71401,70373,71136,4438244864,0.01087095536513627
2010-04-05,71148,71645,71148,71289,3751378176,0.0021508097165992
2010-04-06,71289,71711,70822,71095,4692504064,-0.002721317454305705
2010-04-07,71092,71257,70531,70792,4743616000,-0.004261903087418251
2010-04-08,70792,71805,70461,71784,5086915584,0.014012882811617056
2010-04-09,71783,71989,71306,71417,4415095296,-0.005112559901928049
2010-04-12,71413,71606,70505,70614,4389280768,-0.011243821499082873
2010-04-13,70618,71053,70168,70792,4333203968,0.002520746594159906
2010-04-14,70793,71207,70628,71034,5342541312,0.003418465363317802
2010-04-15,71036,71065,70429,70524,7109872128,-0.0071796604442943
2010-04-16,70521,70521,69012,69421,6226697216,-0.015640065793205205
2010-04-19,69418,69431,68377,69097,4944678912,-0.004667175638495502
2010-04-20,69100,69701,69100,69318,4635961344,0.003198402246117782
2010-04-22,69312,69527,68080,69386,4993193472,0.0009809861796359343
2010-04-23,69387,69709,68831,69509,3890981888,0.0017726918975009553
2010-04-26,69509,69810,68813,68871,3279123456,-0.009178667510682081
2010-04-27,68868,68868,66499,66511,5767497216,-0.03426696287261688
2010-04-28,66512,67253,65914,66655,5243012608,0.002165055404369287
2010-04-29,66660,68012,66660,67978,4200288000,0.019848473482859452
2010-04-30,67975,67975,67242,67529,5484873728,-0.006605078113507301
2010-05-03,67533,67968,66722,67119,5089508352,-0.006071465592560221
2010-05-04,67116,67116,64588,64869,8090933760,-0.03352254950163147
2010-05-05,64859,65611,63533,64914,6292374528,0.0006937057762568255
2010-05-06,64914,65533,60774,63414,7791615488,-0.023107496071725686
2010-05-07,63416,63945,61662,62870,6394807808,-0.008578547323934815
2010-05-10,62871,66083,62871,65452,5428304384,0.041068872276125434
2010-05-11,65448,65732,64424,64424,4966447104,-0.015706166350913597
2010-05-12,64438,65351,64438,65223,4378496512,0.012402210356388998
2010-05-13,65222,65427,64737,64788,4155748096,-0.006669426429327108
2010-05-14,64786,64786,63049,63412,5276333568,-0.021238500956967332
2010-05-17,63406,63593,61824,62866,5704921600,-0.008610357661010482
2010-05-18,62870,63529,60809,60841,5703244288,-0.032211370216015056
2010-05-19,60841,60849,59068,59689,6724526592,-0.01893460002301084
