IBOVESPA - 2023
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;112.073,55;104.384,67;;;110.564,66;;121.248,39;117.892,96;;115.052,96;128.184,91
2;106.376,02;110.140,64;103.325,61;;101.926,95;112.558,15;;120.858,72;;115.056,86;;
3;104.165,74;108.523,47;103.865,99;101.506,18;101.797,09;;119.672,78;120.585,77;;113.419,04;118.159,97;
4;105.334,46;;;101.869,45;102.174,34;;119.076,37;119.507,68;117.776,62;113.607,45;;126.802,79
5;107.641,32;;;100.977,85;105.148,48;112.696,32;119.549,21;;117.331,30;113.284,08;;126.903,25
6;108.963,70;108.721,58;104.700,32;100.821,73;;114.610,10;117.425,70;;115.985,34;114.169,63;118.431,25;125.622,65
7;;107.829,73;104.227,93;;;115.488,16;118.897,99;119.379,50;;;119.268,06;126.009,57
8;;109.951,49;106.540,32;;106.042,15;;;119.090,24;115.313,40;;119.176,67;127.093,57
9;109.129,57;108.008,05;105.071,19;;107.113,66;117.019,48;;118.408,77;;115.156,07;119.034,14;
10;110.816,71;108.078,27;103.618,20;101.846,64;107.448,21;;117.942,44;118.349,60;;116.736,95;120.568,14;
11;112.517,08;;;106.213,76;108.256,40;;117.555,52;118.065,14;116.883,34;117.050,74;;126.916,41
12;111.850,22;;;106.889,71;108.463,84;117.336,34;117.666,49;;117.968,12;;;126.403,03
13;110.916,08;108.836,47;103.121,36;106.457,85;;116.742,71;119.263,89;;118.175,97;115.754,08;120.410,17;129.465,08
14;;107.848,81;102.932,38;106.279,37;;119.068,77;117.710,54;116.809,55;119.391,55;;123.165,76;130.842,09
15;;109.600,14;102.675,45;;109.029,12;119.221,00;;116.171,42;118.757,53;;;130.197,10
16;109.212,66;109.941,46;103.434,66;;108.193,68;118.758,42;;115.591,52;;116.533,85;124.639,24;
17;111.439,12;109.176,92;101.981,53;106.015,67;109.459,95;;118.219,46;114.982,30;;115.908,43;124.773,21;
18;112.228,39;;;106.163,23;110.108,46;;117.841,19;115.408,52;118.288,21;114.059,64;;131.083,82
19;112.921,88;;;103.912,94;110.744,51;119.857,76;117.552,07;;117.845,78;114.004,30;;131.850,90
20;112.040,64;;100.922,89;104.366,82;;119.622,40;118.082,90;;118.695,32;113.155,28;125.957,06;130.804,17
21;;;100.998,13;;;120.420,26;120.216,77;114.429,35;116.145,05;;125.626,03;132.182,01
22;;107.152,05;100.220,63;;110.213,12;118.934,20;;116.156,01;116.008,64;;126.035,30;132.752,93
23;111.737,28;107.592,87;97.926,34;;109.928,53;118.977,10;;118.134,59;;112.784,52;126.575,75;
24;113.028,15;105.798,43;98.829,27;103.946,58;108.799,54;;121.341,69;117.025,60;;113.761,90;125.517,27;
25;114.270,07;;;103.220,09;110.054,38;;122.007,77;115.837,20;115.924,61;112.829,97;;
26;114.177,55;;;102.312,10;110.905,51;118.242,95;122.560,38;;114.193,43;114.776,86;;133.532,92
27;112.316,16;105.711,05;99.670,47;102.923,31;;117.522,87;119.989,64;;114.327,05;113.301,35;125.731,45;134.193,72
28;;104.931,93;101.185,09;104.431,63;;116.681,32;120.187,11;117.120,98;115.730,76;;126.538,32;134.185,24
29;;;101.792,52;;110.333,40;118.382,65;;118.403,61;116.565,17;;126.165,64;
30;112.273,01;;103.713,45;;108.967,03;118.087,00;;117.535,10;;112.531,52;127.331,12;
31;113.430,54;;101.882,20;;108.335,07;;121.942,98;115.741,81;;113.143,67;;
MÍNIMO;104.165,74;104.931,93;97.926,34;100.821,73;101.797,09;110.564,66;117.425,70;114.429,35;114.193,43;112.531,52;115.052,96;125.622,65
MÍNIMO;114.270,07;112.073,55;106.540,32;106.889,71;110.905,51;120.420,26;122.560,38;121.248,39;119.391,55;117.050,74;127.331,12;134.193,72
