IBOVESPA - 2025
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;131.147,29;;;139.549,43;132.437,39;141.283,01;145.517,35;;158.611,01
2;120.125,39;;;131.190,34;135.133,88;136.786,65;139.050,93;;140.335,16;143.949,64;;161.092,25
3;118.532,68;125.970,46;;131.140,65;;137.546,26;140.927,86;;139.863,63;144.200,65;150.454,24;161.755,18
4;;125.147,42;;127.256,00;;137.001,58;141.263,56;132.971,20;140.993,25;;150.704,20;164.455,61
5;;125.534,07;123.046,85;;133.491,23;136.236,37;;133.151,30;142.640,14;;153.294,44;157.369,36
6;120.021,52;126.224,74;123.357,55;;133.515,82;136.102,10;;134.537,62;;143.608,08;153.338,63;
7;121.162,66;124.619,40;125.034,63;125.588,09;133.397,52;;139.489,70;136.527,61;;141.356,43;154.063,53;
8;119.624,51;;;123.931,89;136.231,90;;139.302,85;135.913,25;141.791,58;142.145,38;;158.187,43
9;119.780,56;;;127.795,93;136.511,88;135.699,38;137.480,79;;141.618,29;141.708,19;;157.981,13
10;118.856,48;125.571,81;124.519,38;126.354,75;;136.436,07;136.743,26;;142.348,70;140.680,34;155.257,31;159.074,97
11;;126.521,66;123.507,35;127.682,40;;137.128,04;136.187,31;135.623,15;143.150,84;;157.748,60;159.189,10
12;;124.380,21;123.863,50;;136.563,18;137.799,74;;137.913,68;142.271,58;;157.632,90;160.766,37
13;119.006,93;124.850,18;125.637,11;;138.963,11;137.212,63;;136.687,32;;141.783,36;157.162,43;
14;119.298,67;128.218,59;128.957,09;129.453,91;138.422,84;;135.298,99;136.355,78;;141.682,99;157.738,69;
15;122.650,20;;;129.245,39;139.334,38;;135.250,10;136.340,77;143.546,58;142.603,66;;162.481,74
16;121.234,14;;;128.316,89;139.187,39;139.255,91;135.510,99;;144.061,74;142.200,02;;158.577,88
17;122.350,38;128.552,13;130.833,96;129.650,03;;138.840,02;135.564,74;;145.593,63;143.398,63;156.992,93;157.327,26
18;;128.531,71;131.474,73;;;138.716,64;133.381,58;137.321,64;145.499,49;;156.522,13;157.923,34
19;;127.308,80;132.508,45;;139.636,41;;;134.432,26;145.865,11;;155.380,66;158.473,02
20;122.855,15;127.600,58;131.954,90;;140.109,63;137.115,83;;134.666,46;;144.509,32;;
21;123.338,34;127.128,06;132.344,88;;137.881,27;;134.166,72;134.510,85;;144.085,15;154.770,10;
22;122.971,77;;;130.464,38;137.272,59;;134.035,72;137.968,15;145.109,25;144.872,79;;158.141,65
23;122.483,32;;;132.216,07;137.824,29;136.550,50;135.368,27;;146.424,94;145.720,98;;160.455,83
24;122.446,94;125.401,38;131.321,44;134.580,43;;137.164,61;133.807,59;;146.491,75;146.172,21;155.277,56;
25;;125.979,50;132.067,69;134.739,28;;135.767,29;133.524,18;138.025,17;145.306,23;;155.910,18;
26;;124.768,71;132.519,63;;138.136,14;137.113,89;;137.771,39;145.446,66;;158.554,94;160.896,64
27;124.861,50;124.798,96;133.148,75;;139.541,23;136.865,79;;139.205,81;;146.969,10;158.359,76;
28;124.055,50;122.799,09;131.902,18;135.015,89;138.887,81;;132.129,26;141.049,20;;147.428,90;159.072,13;
29;123.432,12;;;135.092,99;138.533,70;;132.725,68;141.422,26;146.336,80;148.632,93;;160.490,30
30;126.912,78;;;135.066,97;137.026,62;138.854,60;133.989,74;;146.237,02;148.780,22;;161.125,37
31;126.134,94;;130.259,54;;;;133.071,05;;;149.540,43;;
MÍNIMO;118.532,68;122.799,09;123.046,85;123.931,89;133.397,52;135.699,38;132.129,26;132.437,39;139.863,63;140.680,34;150.454,24;157.327,26
MÍNIMO;126.912,78;128.552,13;133.148,75;135.092,99;140.109,63;139.255,91;141.263,56;141.422,26;146.491,75;149.540,43;159.072,13;164.455,61
