Épocas,Neurônios,Camadas,LR,MAE
20,50,3,0.001,0.044091602166493736
20,20,3,0.001,0.044247048596541085
100,50,3,0.001,0.04525199284156164
100,20,2,0.001,0.04538070658842722
100,20,3,0.001,0.046265508979558945
50,20,3,0.001,0.04786431913574537
50,20,2,0.001,0.04843841368953387
50,50,3,0.001,0.04875353475411733
20,20,2,0.001,0.049293119460344315
100,50,2,0.001,0.050027504563331604
50,50,2,0.001,0.051482229183117546
20,50,2,0.001,0.05185906837383906
