Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MSE
20,20,2,0.01,0.00393171530837814
20,50,2,0.01,0.00405589157404999
50,20,2,0.01,0.004079975342998902
20,50,2,0.001,0.004116578493267298
50,50,2,0.01,0.004144224027792613
50,20,2,0.001,0.004182324279099703
50,50,2,0.001,0.004222789080813527
20,20,2,0.001,0.0042451742726067705
