Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MAE
20,20,2,0.001,0.04574394101897875
20,20,3,0.001,0.04662885144352913
50,50,3,0.001,0.047144037981828056
50,50,2,0.001,0.04839250569542249
100,20,3,0.001,0.0493713083366553
50,20,3,0.001,0.05079139272371928
20,50,2,0.001,0.051117500911156334
20,50,3,0.001,0.0511458528538545
100,50,2,0.001,0.054808790485064186
50,20,2,0.001,0.05591338500380516
100,50,3,0.001,0.05742011467615763
100,20,2,0.001,0.06350506469607353
