Épocas,Neurônios,Camadas,LR,MAE
100,20,2,0.001,0.04538094873229662
20,20,3,0.001,0.04578061277667681
100,20,3,0.001,0.04608657956123352
50,50,3,0.001,0.04751670484741529
50,20,2,0.001,0.04778980339566866
50,50,2,0.001,0.048066217452287674
50,20,3,0.001,0.04822388788064321
20,50,3,0.001,0.04944317787885666
100,50,2,0.001,0.04960751781860987
20,20,2,0.001,0.049731671810150146
100,50,3,0.001,0.05049373706181844
20,50,2,0.001,0.051194362342357635
