Seed,LSTM_Épocas,LSTM_Neurônios,LSTM_Camadas,LSTM_LR,LSTM_RMSE,LSTM_MAPE,LSTM_Acerto_Dir_%,LSTM_Acerto_10pri_%,SVR_C,SVR_Kernel,SVR_Gamma,SVR_RMSE,SVR_MAPE,SVR_Acerto_Dir_%,SVR_Acerto_10pri_%
10,20,20,3,0.001,0.017708,354.928223,53.11,70.0,0.1,rbf,0.001,0.019587,5019.956218,45.75,30.0
429,20,50,3,0.001,0.019082,4273.671875,45.75,30.0,0.1,rbf,0.001,0.019587,5019.956218,45.75,30.0
128963,100,20,2,0.001,0.01959,3811.703857,49.3,70.0,0.1,rbf,0.001,0.019587,5019.956218,45.75,30.0
7,100,20,2,0.001,0.019477,3456.325928,49.94,70.0,0.1,rbf,0.001,0.019587,5019.956218,45.75,30.0
9998,20,50,3,0.001,0.019499,5011.87207,45.75,30.0,0.1,rbf,0.001,0.019587,5019.956218,45.75,30.0
