Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MAE
100,50,2,0.001,0.04066959582269192
50,50,2,0.001,0.04602213638524214
100,20,2,0.001,0.05507944896817207
100,50,3,0.001,0.0556570328772068
100,20,3,0.001,0.0618714764714241
50,20,2,0.001,0.06568146497011185
50,50,3,0.001,0.06600788421928883
20,50,2,0.001,0.06630035986502965
20,20,2,0.001,0.08578893790642421
50,20,3,0.001,0.09098775933186214
20,50,3,0.001,0.10767458130915959
20,20,3,0.001,0.11811489860216777
