Épocas,Neurônios,Camadas,Taxa de aprendizado (LR),MAE
20,50,3,0.001,0.045624248683452606
100,50,2,0.001,0.046782009303569794
50,20,2,0.001,0.047199620554844536
100,20,3,0.001,0.047223374247550964
20,20,3,0.001,0.04826323315501213
100,20,2,0.001,0.04892787213126818
20,50,2,0.001,0.049119276305039726
50,50,3,0.001,0.04936124384403229
20,20,2,0.001,0.050284589330355324
50,50,2,0.001,0.050842435409625374
100,50,3,0.001,0.05099229017893473
50,20,3,0.001,0.051216921458641686
