Épocas,Neurônios,Camadas,LR,MAE
20,20,3,0.001,0.04244958112637202
50,20,3,0.001,0.04341122011343638
20,50,3,0.001,0.04508119200666746
50,50,3,0.001,0.04533742864926656
50,20,2,0.001,0.0468132421374321
20,50,2,0.001,0.0483484131594499
100,50,3,0.001,0.050929129123687744
100,50,2,0.001,0.0527070959409078
20,20,2,0.001,0.05545160422722498
100,20,2,0.001,0.057753643641869225
50,50,2,0.001,0.0597659188012282
100,20,3,0.001,0.07257895916700363
