Épocas,Neurônios,Camadas,LR,MAE
50,50,3,0.001,0.04338778927922249
20,20,2,0.001,0.04546282192071279
50,20,3,0.001,0.04553006465236346
100,20,3,0.001,0.04600359871983528
20,20,3,0.001,0.04636920243501663
50,20,2,0.001,0.04925586904088656
20,50,2,0.001,0.0497847373286883
50,50,2,0.001,0.05025362844268481
100,20,2,0.001,0.050717110435167946
100,50,2,0.001,0.05178525050481161
100,50,3,0.001,0.057561869422594704
20,50,3,0.001,0.05873722955584526
