Épocas,Neurônios,Camadas,LR,MAE
20,20,3,0.001,0.04213709508379301
50,20,3,0.001,0.04272757098078728
20,20,2,0.001,0.042962384720643364
100,50,2,0.001,0.04686781391501427
20,50,2,0.001,0.04711229850848516
50,20,2,0.001,0.05053841322660446
50,50,3,0.001,0.05149385208884875
20,50,3,0.001,0.05310778816541036
50,50,2,0.001,0.05320954446991285
100,20,3,0.001,0.05421901494264603
100,20,2,0.001,0.05514248584707578
100,50,3,0.001,0.056797818591197334
